toma;actor_1;actor_2;actor_3;actor_4;actor_5;actor_6;actor_7;actor_8;actor_9;actor_10
1;1;1;0;1;1;0;0;0;1;0
2;1;0;1;0;0;0;1;0;0;0
3;0;0;0;0;0;1;1;1;1;0
4;1;0;0;1;0;0;0;1;0;1
5;0;0;1;0;1;1;1;1;1;0
6;0;0;1;0;0;0;1;1;1;0
7;1;0;0;1;1;0;1;0;1;0
8;1;1;1;1;1;1;0;1;0;1
9;1;1;1;0;0;1;0;0;1;1
10;0;0;1;1;0;1;0;0;1;0
11;1;0;0;0;1;0;0;1;0;0
12;1;1;0;0;0;0;1;1;1;1
13;0;0;0;1;0;1;1;0;1;0
14;1;1;1;1;1;0;1;1;0;1
15;0;1;1;0;1;0;0;0;0;0
16;1;1;0;0;1;1;1;1;1;1
17;1;1;0;1;1;0;0;1;0;0
18;1;0;0;1;0;1;1;1;1;0
19;0;1;0;0;0;1;1;0;1;1
20;1;1;1;1;0;0;1;1;1;0
21;0;0;0;0;0;0;0;1;1;0
22;1;1;0;1;0;1;0;1;0;1
23;0;0;0;0;0;1;0;0;1;1
24;0;1;0;1;0;1;0;1;0;1
25;0;1;0;0;0;0;1;0;1;0
26;0;1;0;0;1;0;0;0;1;1
27;0;1;1;1;0;1;0;1;0;1
28;0;0;1;1;1;1;0;1;0;0
29;0;1;1;0;0;1;0;1;0;1
30;0;1;0;1;1;1;1;1;1;1
